2022-10-05 17:14:01,198 INFO     Camera Started
2022-10-05 17:14:19,705 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,771 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,841 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,904 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:19,971 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:20,080 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:20,138 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:20,211 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,277 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,343 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,404 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,471 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,551 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,629 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,698 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,769 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,842 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,902 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:20,966 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,033 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,097 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,175 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,255 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,329 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,400 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,459 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,518 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,581 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,650 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,710 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,794 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,861 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,915 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:21,979 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:22,073 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:22,142 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:22,218 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:22,289 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:22,363 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:22,430 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:22,483 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:22,566 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:22,645 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:22,718 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:22,788 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:22,862 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:22,921 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:22,989 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,061 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,151 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:23,238 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
