Date,Time,Focus,Emotion,Head,Hand
2022-11-08,11:28:54:302,1,1,1,
2022-11-08,11:28:54:387,1,1,1,
2022-11-08,11:28:54:453,1,1,1,
2022-11-08,11:28:54:503,1,1,1,
2022-11-08,11:28:54:587,1,1,1,
2022-11-08,11:28:54:669,1,1,1,
2022-11-08,11:28:54:722,1,1,1,
2022-11-08,11:28:54:813,1,1,1,
2022-11-08,11:28:54:872,1,1,1,
2022-11-08,11:28:54:938,1,1,1,
2022-11-08,11:28:55:004,1,1,1,
2022-11-08,11:28:55:088,1,1,1,
2022-11-08,11:28:55:154,1,1,1,
2022-11-08,11:28:55:221,1,1,1,
2022-11-08,11:28:55:289,1,1,1,
2022-11-08,11:28:55:355,1,1,1,
2022-11-08,11:28:55:431,1,1,1,
2022-11-08,11:28:55:505,1,1,1,
2022-11-08,11:28:55:571,1,1,1,
2022-11-08,11:28:55:641,1,1,1,
2022-11-08,11:28:55:705,1,1,1,
2022-11-08,11:28:55:774,1,1,1,
2022-11-08,11:28:55:856,1,1,1,
2022-11-08,11:28:55:908,1,1,1,
2022-11-08,11:28:55:974,1,1,1,
2022-11-08,11:28:56:060,1,1,1,
2022-11-08,11:28:56:127,1,1,1,
2022-11-08,11:28:56:206,1,1,1,
2022-11-08,11:28:56:257,1,1,1,
2022-11-08,11:28:56:341,1,1,1,
2022-11-08,11:28:56:435,1,1,1,
2022-11-08,11:28:56:491,1,1,1,
2022-11-08,11:28:56:564,1,1,1,
2022-11-08,11:28:56:643,1,1,1,
2022-11-08,11:28:56:715,1,1,1,
2022-11-08,11:28:56:775,1,1,1,
2022-11-08,11:28:56:852,1,1,1,
2022-11-08,11:28:56:943,1,1,1,
2022-11-08,11:28:57:010,1,1,1,
2022-11-08,11:28:57:091,1,1,1,
2022-11-08,11:28:57:142,1,1,1,
2022-11-08,11:28:57:226,1,1,1,
2022-11-08,11:28:57:276,1,1,1,
2022-11-08,11:28:57:343,1,1,1,
2022-11-08,11:28:57:426,1,1,1,
2022-11-08,11:28:57:493,1,1,1,
2022-11-08,11:28:57:574,1,1,1,
2022-11-08,11:28:57:628,1,1,1,
2022-11-08,11:28:57:708,1,1,1,
2022-11-08,11:28:57:775,1,1,1,
2022-11-08,11:28:57:828,1,1,1,
2022-11-08,11:28:57:908,1,1,1,
2022-11-08,11:28:57:977,1,1,1,
2022-11-08,11:28:58:051,1,1,1,
2022-11-08,11:28:58:128,1,1,1,
2022-11-08,11:28:58:193,1,1,1,
2022-11-08,11:28:58:274,1,1,1,
2022-11-08,11:28:58:331,1,1,1,
2022-11-08,11:28:58:409,1,1,1,
2022-11-08,11:28:58:476,1,1,1,
2022-11-08,11:28:58:543,1,1,1,
2022-11-08,11:28:58:609,1,1,1,
2022-11-08,11:28:58:678,1,1,1,
2022-11-08,11:28:58:744,1,1,1,
2022-11-08,11:28:58:810,1,1,1,
2022-11-08,11:28:58:894,1,1,1,
2022-11-08,11:28:58:944,1,1,1,
2022-11-08,11:28:59:026,1,1,1,
2022-11-08,11:28:59:110,1,1,1,
2022-11-08,11:28:59:163,1,1,1,
2022-11-08,11:28:59:230,1,1,1,
2022-11-08,11:28:59:298,1,1,1,
2022-11-08,11:28:59:365,1,1,1,
2022-11-08,11:28:59:430,1,1,1,
2022-11-08,11:28:59:495,1,1,1,
2022-11-08,11:28:59:579,1,1,1,
2022-11-08,11:28:59:647,0,1,1,
2022-11-08,11:28:59:728,0,1,1,
2022-11-08,11:28:59:795,0,1,1,
2022-11-08,11:28:59:846,1,1,1,
2022-11-08,11:28:59:944,1,1,1,
2022-11-08,11:29:00:022,1,1,1,
2022-11-08,11:29:00:111,1,1,1,
2022-11-08,11:29:00:196,1,1,1,
2022-11-08,11:29:00:262,1,1,1,
2022-11-08,11:29:00:332,1,1,1,
2022-11-08,11:29:00:419,1,1,1,
2022-11-08,11:29:00:480,1,1,1,
2022-11-08,11:29:00:562,1,1,1,
2022-11-08,11:29:00:628,1,1,1,
2022-11-08,11:29:00:712,1,1,1,
2022-11-08,11:29:00:762,1,1,1,
2022-11-08,11:29:00:847,1,1,1,
2022-11-08,11:29:00:912,1,1,1,
2022-11-08,11:29:00:962,1,1,1,
2022-11-08,11:29:01:032,1,1,1,
2022-11-08,11:29:01:112,1,1,1,
2022-11-08,11:29:01:178,1,1,1,
2022-11-08,11:29:01:247,1,1,1,
2022-11-08,11:29:01:313,1,1,1,
2022-11-08,11:29:01:382,1,1,1,
2022-11-08,11:29:01:464,1,1,1,
2022-11-08,11:29:01:529,1,1,1,
2022-11-08,11:29:01:583,1,1,1,
2022-11-08,11:29:01:664,1,1,1,
2022-11-08,11:29:01:731,1,1,1,
2022-11-08,11:29:01:783,1,1,1,
2022-11-08,11:29:01:865,1,1,1,
2022-11-08,11:29:01:915,1,1,1,
2022-11-08,11:29:01:984,1,1,1,
2022-11-08,11:29:02:053,1,1,1,
2022-11-08,11:29:02:120,1,1,1,
2022-11-08,11:29:02:201,1,1,1,
2022-11-08,11:29:02:268,1,1,1,
2022-11-08,11:29:02:336,1,1,1,
2022-11-08,11:29:02:401,1,1,1,
2022-11-08,11:29:02:483,1,1,1,
2022-11-08,11:29:02:553,1,1,1,
2022-11-08,11:29:02:601,1,1,1,
2022-11-08,11:29:02:702,0,1,0,
2022-11-08,11:29:02:786,0,1,0,
2022-11-08,11:29:02:853,0,1,0,
2022-11-08,11:29:02:918,0,1,0,
2022-11-08,11:29:02:986,0,1,0,
2022-11-08,11:29:03:043,0,1,0,
2022-11-08,11:29:03:118,0,1,0,
2022-11-08,11:29:03:170,0,0,0,
2022-11-08,11:29:03:238,0,0,0,
2022-11-08,11:29:03:318,0,0,0,
2022-11-08,11:29:03:387,0,0,0,
2022-11-08,11:29:03:469,0,0,0,
2022-11-08,11:29:03:469,0,0,0,
2022-11-08,11:29:03:520,0,0,0,
2022-11-08,11:29:03:520,0,0,0,
2022-11-08,11:29:03:587,0,0,0,
2022-11-08,11:29:03:587,0,0,0,
2022-11-08,11:29:03:654,0,0,0,
2022-11-08,11:29:03:654,0,0,0,
2022-11-08,11:29:03:720,0,0,0,
2022-11-08,11:29:03:720,0,0,0,
2022-11-08,11:29:03:788,0,0,0,
2022-11-08,11:29:03:788,0,0,0,
2022-11-08,11:29:03:870,0,0,0,
2022-11-08,11:29:03:870,0,0,0,
2022-11-08,11:29:03:939,0,0,0,
2022-11-08,11:29:03:939,0,0,0,
2022-11-08,11:29:04:004,0,0,0,
2022-11-08,11:29:04:004,0,0,0,
2022-11-08,11:29:04:070,0,0,0,
2022-11-08,11:29:04:070,0,0,0,
2022-11-08,11:29:04:139,0,0,0,
2022-11-08,11:29:04:139,0,0,0,
2022-11-08,11:29:04:220,0,0,0,
2022-11-08,11:29:04:220,0,0,0,
2022-11-08,11:29:04:270,0,0,0,
2022-11-08,11:29:04:270,0,0,0,
2022-11-08,11:29:04:355,0,0,0,
2022-11-08,11:29:04:355,0,0,0,
2022-11-08,11:29:04:420,0,0,0,
2022-11-08,11:29:04:420,0,0,0,
2022-11-08,11:29:04:470,0,0,0,
